team_id,name,captain_handle,url_homepage,ascii_art
1,SegFault Spartans,SegFaultSam,https://example.com/segfault_spartans,
2,NullPointer Ninjas,NullPointerNina,https://example.com/nullpointer_ninjas,
3,OffByOne Offense,OffByOneOlaf,https://example.com/offbyone_offense,
4,Pepsi Max Punishers,PepsiMaxPalli,https://example.com/pepsimax_punishers,
5,Chuck Norris Fan Club,RoundhouseRik,https://example.com/chuck_fan_club,
6,IndentationError Invaders,IndentationErrorIna,https://example.com/indent_invaders,
7,Assembly Avengers,MovAxMaria,https://example.com/assembly_avengers,
8,Datalab Dominators,BitTwiddlerBjarni,https://example.com/datalab_dominators,
9,Bomblab Bombers,BombDefusalDori,https://example.com/bomblab_bombers,
10,StackOverflow Stackers,CopyPasteKalli,https://example.com/stackoverflow_stackers,
11,CacheHit Crusaders,L1CacheLara,https://example.com/cachehit_crusaders,
12,WhileTrue Tryhards,WhileTrueWendy,https://example.com/whiletrue_tryhards,
13,Segmentation Foul,SegmentationFoulStebbi,https://example.com/segmentation_foul,
14,RaceCondition Racers,RaceConditionRagnhildur,https://example.com/racecondition_racers,
15,Undefined Behavior United,UBUnitedUlfar,https://example.com/ub_united,
16,Pepsi Max Overflow,PepsiMaxOverflowPetra,https://example.com/pepsimax_overflow,

